SchoolN,State Name,State Abbr,School Name,Agency Name,School Type,Locale,Total Students All Grades (Excludes AE),Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,American Indian/Alaska Native Students,Pupil/Teacher Ratio,Full-Time Equivalent Teachers
FOREST LAKES ELEMENTARY,Maryland,MD ,Forest Lakes Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,427,5,23,8,367,–,24,427,–,15.09,28.30
FOREST OAK MIDDLE,Maryland,MD ,Forest Oak Middle,Montgomery County Public Schools,1-Regular school,13-City: Small,864,51,476,212,95,1,28,864,1,13.85,62.40
FOREST PARK HIGH,Maryland,MD ,Forest Park High,Baltimore City Public Schools,1-Regular school,11-City: Large,597,1,87,493,8,2,2,597,4,18.09,33.00
FOREST RIDGE ELEMENTARY,Maryland,MD ,Forest Ridge Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,679,158,92,234,142,1,51,679,1,13.86,49.00
FORT FOOTE ELEMENTARY,Maryland,MD ,Fort Foote Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,323,27,116,154,17,1,7,323,1,13.57,23.80
FORT GARRISON ELEMENTARY,Maryland,MD ,Fort Garrison Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,282,16,2,44,210,1,9,282,–,14.24,19.80
FORT HILL HIGH,Maryland,MD ,Fort Hill High,Allegany County Public Schools,1-Regular school,13-City: Small,715,5,11,42,612,–,44,715,1,15.71,45.50
FORT SMALLWOOD ELEMENTARY,Maryland,MD ,Fort Smallwood Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,456,3,12,16,411,–,13,456,1,16.06,28.40
FORT WASHINGTON FOREST ELEMENTARY,Maryland,MD ,Fort Washington Forest Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,288,16,73,184,9,2,4,288,–,12.63,22.80
FORT WORTHINGTON ELEMENTARY/MIDDLE,Maryland,MD ,Fort Worthington Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,742,5,22,700,11,–,2,742,2,19.27,38.50
FOUNTAIN GREEN ELEMENTARY,Maryland,MD ,Fountain Green Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,498,28,25,35,394,–,16,498,–,15.91,31.30
FOUNTAIN ROCK ELEMENTARY,Maryland,MD ,Fountain Rock Elementary,Washingtion County Public Schools,1-Regular school,41-Rural: Fringe,254,2,17,8,223,–,4,254,–,14.94,17.00
FOUNTAINDALE ELEMENTARY,Maryland,MD ,Fountaindale Elementary,Washingtion County Public Schools,1-Regular school,13-City: Small,390,22,46,59,220,–,43,390,–,14.83,26.30
FOUR SEASONS ELEMENTARY,Maryland,MD ,Four Seasons Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,681,47,61,118,372,2,80,681,1,17.33,39.30
FOX CHAPEL ELEMENTARY,Maryland,MD ,Fox Chapel Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,598,93,262,156,58,3,25,598,1,13.62,43.90
FRANCES FUCHS EARLY CHILDHOOD CENTER,Maryland,MD ,Frances Fuchs Early Childhood Center,Prince George's County Public Schools,2-Special education school,21-Suburb: Large,305,14,152,116,19,–,4,305,–,5.59,54.60
FRANCIS SCOTT KEY ELEMENTARY,Maryland,MD ,Francis Scott Key Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,490,1,93,384,8,1,2,490,1,13.84,35.40
FRANCIS SCOTT KEY ELEMENTARY/MIDDLE,Maryland,MD ,Francis Scott Key Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,511,8,41,237,206,1,16,511,2,18.25,28.00
FRANCIS SCOTT KEY HIGH,Maryland,MD ,Francis Scott Key High,Carroll County Public Schools,1-Regular school,41-Rural: Fringe,929,7,36,41,814,1,27,929,3,17.20,54.00
FRANCIS SCOTT KEY MIDDLE,Maryland,MD ,Francis Scott Key Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,991,100,392,444,29,1,21,991,4,14.28,69.40
FRANCIS T. EVANS ELEMENTARY,Maryland,MD ,Francis T. Evans Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,368,7,82,225,41,3,9,368,1,15.79,23.30
FRANKLIN ELEMENTARY,Maryland,MD ,Franklin Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,431,33,41,87,250,1,19,431,–,15.18,28.40
FRANKLIN HIGH,Maryland,MD ,Franklin High,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,1460,97,151,645,487,2,73,1460,5,16.98,86.00
FRANKLIN MIDDLE,Maryland,MD ,Franklin Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,1254,85,183,553,356,4,70,1254,3,16.50,76.00
FRANKLIN SQUARE ELEMENTARY/MIDDLE,Maryland,MD ,Franklin Square Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,469,3,9,446,8,–,3,469,–,17.37,27.00
FREDERICK CLASSICAL CHARTER,Maryland,MD ,Frederick Classical Charter School,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,378,32,35,111,173,2,23,378,2,14.67,25.76
FREDERICK COUNTY CAREER & TECHNOLOGY CENTER,Maryland,MD ,Frederick County Career & Technology Center,Frederick County Public Schools,3-Career and Technical School,13-City: Small,0,0,0,0,0,0,0,0,0,0.00,29.00
FREDERICK COUNTY VIRTUAL,Maryland,MD ,Frederick County Virtual School,Frederick County Public Schools,4-Alternative Education School,13-City: Small,0,0,0,0,0,0,0,0,0,0.00,1.00
FREDERICK DOUGLASS HIGH,Maryland,MD ,Frederick Douglass High,Baltimore City Public Schools,1-Regular school,11-City: Large,850,–,10,835,4,–,1,850,–,18.89,45.00
FREDERICK DOUGLASS HIGH,Maryland,MD ,Frederick Douglass High,Prince George's County Public Schools,1-Regular school,41-Rural: Fringe,996,3,62,876,14,–,36,996,5,17.17,58.00
FREDERICK ELEMENTARY,Maryland,MD ,Frederick Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,384,–,10,323,40,–,8,384,3,14.22,27.00
FREDERICK HIGH,Maryland,MD ,Frederick High,Frederick County Public Schools,1-Regular school,13-City: Small,1407,107,516,345,359,3,76,1407,1,16.95,83.00
FREEDOM DISTRICT ELEMENTARY,Maryland,MD ,Freedom District Elementary,Carroll County Public Schools,1-Regular school,23-Suburb: Small,540,23,31,19,442,1,21,540,3,16.17,33.40
FREETOWN ELEMENTARY,Maryland,MD ,Freetown Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,497,15,93,181,171,1,35,497,1,14.88,33.40
FRIENDLY HIGH,Maryland,MD ,Friendly High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,834,24,163,616,10,3,18,834,–,14.76,56.50
FRIENDSHIP VALLEY ELEMENTARY,Maryland,MD ,Friendship Valley Elementary,Carroll County Public Schools,1-Regular school,23-Suburb: Small,493,9,40,23,400,–,21,493,–,14.46,34.10
FRIENDSVILLE ELEMENTARY,Maryland,MD ,Friendsville Elementary,Garrett County Public Schools,1-Regular school,42-Rural: Distant,147,–,5,2,139,–,1,147,–,14.91,9.86
FROST ELEMENTARY,Maryland,MD ,Frost Elementary,Allegany County Public Schools,1-Regular school,23-Suburb: Small,215,8,1,1,201,–,3,215,1,14.53,14.80
FRUITLAND INTERMEDIATE,Maryland,MD ,Fruitland Intermediate,Wicomico County Public Schools,1-Regular school,23-Suburb: Small,431,15,47,107,227,–,30,431,5,15.39,28.00
FRUITLAND PRIMARY,Maryland,MD ,Fruitland Primary,Wicomico County Public Schools,1-Regular school,23-Suburb: Small,477,30,52,113,234,–,48,477,–,16.45,29.00
FULLERTON ELEMENTARY,Maryland,MD ,Fullerton Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,618,49,43,206,268,–,46,618,6,17.46,35.40
FULTON ELEMENTARY,Maryland,MD ,Fulton Elementary,Howard County Public Schools,1-Regular school,41-Rural: Fringe,918,279,42,130,380,2,84,918,1,15.05,61.00
FURLEY ELEMENTARY,Maryland,MD ,Furley Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,429,4,17,393,14,–,–,429,1,16.82,25.50
FURMAN TEMPLETON PREPARATORY ACADEMY,Maryland,MD ,Furman Templeton Preparatory Academy,Baltimore City Public Schools,1-Regular school,11-City: Large,463,–,4,454,2,1,–,463,2,17.81,26.00
G. JAMES GHOLSON MIDDLE,Maryland,MD ,G. James Gholson Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,879,5,208,644,20,1,–,879,1,15.70,56.00
G. LISBY ELEMENTARY AT HILLSDALE,Maryland,MD ,G. Lisby Elementary at Hillsdale,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,406,7,33,158,153,2,53,406,–,12.55,32.35
GAITHERSBURG ELEMENTARY,Maryland,MD ,Gaithersburg Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,839,26,639,132,23,–,17,839,2,11.52,72.80
GAITHERSBURG HIGH,Maryland,MD ,Gaithersburg High,Montgomery County Public Schools,1-Regular school,13-City: Small,2352,168,1252,542,312,–,77,2352,1,14.45,162.80
GAITHERSBURG MIDDLE,Maryland,MD ,Gaithersburg Middle,Montgomery County Public Schools,1-Regular school,13-City: Small,863,58,418,190,153,1,43,863,–,12.96,66.60
GALE-BAILEY ELEMENTARY SCHOOL,Maryland,MD ,Gale-Bailey Elementary School,Charles County Public Schools,1-Regular school,41-Rural: Fringe,394,6,26,137,184,–,41,394,–,13.95,28.25
GALENA ELEMENTARY SCHOOL,Maryland,MD ,Galena Elementary School,Kent County Public Schools,1-Regular school,42-Rural: Distant,344,–,63,41,220,–,20,344,–,12.11,28.40
GALWAY ELEMENTARY,Maryland,MD ,Galway Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,788,73,182,488,22,–,20,788,3,13.66,57.70
GARDENVILLE ELEMENTARY,Maryland,MD ,Gardenville Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,295,2,4,277,7,–,4,295,1,16.39,18.00
GARRETT HEIGHTS ELEMENTARY/MIDDLE,Maryland,MD ,Garrett Heights Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,326,1,7,280,32,1,5,326,–,16.72,19.50
GARRETT PARK ELEMENTARY,Maryland,MD ,Garrett Park Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,798,126,202,93,311,2,63,798,1,18.18,43.90
GATEWAY SCHOOL,Maryland,MD ,Gateway School,Carroll County Public Schools,4-Alternative Education School,41-Rural: Fringe,69,–,6,5,53,–,4,69,1,3.83,18.00
GAYWOOD ELEMENTARY,Maryland,MD ,Gaywood Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,486,11,322,136,13,–,3,486,1,10.92,44.50
GENERAL JOHN STRICKER MIDDLE,Maryland,MD ,General John Stricker Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,728,16,64,130,447,–,61,728,10,13.36,54.50
GENERAL SMALLWOOD MIDDLE SCHOOL,Maryland,MD ,General Smallwood Middle School,Charles County Public Schools,1-Regular school,22-Suburb: Mid-size,532,5,26,243,210,–,45,532,3,13.27,40.10
GEORGE T. CROMWELL ELEMENTARY,Maryland,MD ,George T. Cromwell Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,321,14,66,29,186,1,24,321,1,14.27,22.50
GEORGE W. CARVER CENTER FOR ARTS & TECHNOLOGY,Maryland,MD ,George W. Carver Center for Arts & Technology,Baltimore County Public Schools,3-Career and Technical School,13-City: Small,942,56,56,348,432,2,43,942,5,16.19,58.20
GEORGE W. F. MCMECHEN HIGH,Maryland,MD ,George W. F. McMechen High,Baltimore City Public Schools,2-Special education school,11-City: Large,46,1,2,39,3,–,1,46,–,3.07,15.00
GEORGE WASHINGTON CARVER ELEMENTARY,Maryland,MD ,George Washington Carver Elementary,St. Mary's County Public Schools,1-Regular school,23-Suburb: Small,623,8,135,310,110,1,57,623,2,14.92,41.75
GEORGE WASHINGTON ELEMENTARY,Maryland,MD ,George Washington Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,222,–,10,183,20,2,6,222,1,15.31,14.50
GEORGE'S CREEK ELEMENTARY,Maryland,MD ,George's Creek Elementary,Allegany County Public Schools,1-Regular school,41-Rural: Fringe,302,–,–,–,299,–,3,302,–,15.02,20.10
GEORGETOWN EAST ELEMENTARY,Maryland,MD ,Georgetown East Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,319,6,127,157,19,1,9,319,–,10.85,29.40
GEORGIAN FOREST ELEMENTARY,Maryland,MD ,Georgian Forest Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,655,25,402,152,59,–,16,655,1,12.94,50.60
GERMANTOWN ELEMENTARY,Maryland,MD ,Germantown Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,321,50,72,119,59,–,20,321,1,11.51,27.90
GERMANTOWN ELEMENTARY,Maryland,MD ,Germantown Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,559,5,302,135,107,–,7,559,3,12.51,44.70
GILMOR ELEMENTARY,Maryland,MD ,Gilmor Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,256,–,3,253,–,–,–,256,–,13.47,19.00
GILPIN MANOR ELEMENTARY,Maryland,MD ,Gilpin Manor Elementary,Cecil County Public Schools,1-Regular school,21-Suburb: Large,404,3,50,119,175,–,57,404,–,13.74,29.40
GLADE ELEMENTARY,Maryland,MD ,Glade Elementary,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,616,12,45,47,467,–,45,616,–,17.97,34.28
GLADYS NOON SPELLMAN ELEMENTARY,Maryland,MD ,Gladys Noon Spellman Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,546,28,199,285,32,–,1,546,1,14.46,37.76
GLASSMANOR ELEMENTARY,Maryland,MD ,Glassmanor Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,308,–,208,99,1,–,–,308,–,12.87,23.94
GLEN AVENUE SCHOOL,Maryland,MD ,Glen Avenue School,Wicomico County Public Schools,1-Regular school,23-Suburb: Small,423,3,50,247,85,–,33,423,5,12.82,33.00
GLEN BURNIE HIGH,Maryland,MD ,Glen Burnie High,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,2035,84,370,594,851,4,122,2035,10,16.20,125.60
GLEN BURNIE PARK ELEMENTARY,Maryland,MD ,Glen Burnie Park Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,556,26,125,211,167,3,22,556,2,15.40,36.10
GLEN HAVEN ELEMENTARY,Maryland,MD ,Glen Haven Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,482,36,230,111,83,–,22,482,–,12.26,39.30
GLENALLAN ELEMENTARY,Maryland,MD ,Glenallan Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,746,84,329,239,72,–,19,746,3,13.51,55.20
GLENARDEN WOODS ELEMENTARY,Maryland,MD ,Glenarden Woods Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,490,35,76,322,46,1,9,490,1,18.24,26.86
GLENDALE ELEMENTARY,Maryland,MD ,Glendale Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,433,5,116,59,221,2,29,433,1,11.99,36.10
GLENELG HIGH,Maryland,MD ,Glenelg High,Howard County Public Schools,1-Regular school,31-Town: Fringe,1198,135,48,48,913,1,52,1198,1,15.44,77.60
GLENMAR ELEMENTARY,Maryland,MD ,Glenmar Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,327,46,27,199,41,1,12,327,1,14.60,22.40
GLENMOUNT ELEMENTARY/MIDDLE,Maryland,MD ,Glenmount Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,706,4,27,652,16,1,5,706,1,17.43,40.50
GLENN DALE ELEMENTARY,Maryland,MD ,Glenn Dale Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,580,49,97,402,23,–,8,580,1,14.74,39.36
GLENRIDGE ELEMENTARY,Maryland,MD ,Glenridge Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,804,11,423,320,40,3,2,804,5,15.08,53.30
GLENWOOD MIDDLE,Maryland,MD ,Glenwood Middle,Howard County Public Schools,1-Regular school,41-Rural: Fringe,492,38,37,29,366,–,20,492,2,15.33,32.10
GLYNDON ELEMENTARY,Maryland,MD ,Glyndon Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,535,26,78,279,109,1,40,535,2,17.47,30.63
GOLDEN RING MIDDLE,Maryland,MD ,Golden Ring Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,763,40,91,470,123,2,33,763,4,16.06,47.50
GORMAN CROSSING ELEMENTARY,Maryland,MD ,Gorman Crossing Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,877,242,103,288,179,–,64,877,1,14.62,60.00
GOSHEN ELEMENTARY,Maryland,MD ,Goshen Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,578,69,232,142,105,1,29,578,–,14.45,40.00
GOV. THOMAS JOHNSON HIGH,Maryland,MD ,Gov. Thomas Johnson High,Frederick County Public Schools,1-Regular school,13-City: Small,1703,67,516,387,630,4,96,1703,3,16.70,102.00
GOV. THOMAS JOHNSON MIDDLE,Maryland,MD ,Gov. Thomas Johnson Middle,Frederick County Public Schools,1-Regular school,13-City: Small,509,30,107,92,254,–,24,509,2,13.39,38.00
GOVANS ELEMENTARY,Maryland,MD ,Govans Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,409,–,8,394,7,–,–,409,–,16.04,25.50
GRACELAND PARK/O'DONNELL HEIGHTS ELEMENTARY/MIDDLE,Maryland,MD ,Graceland Park/O'Donnel Heights Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,477,5,322,113,31,1,5,477,–,14.68,32.50
GRANGE ELEMENTARY,Maryland,MD ,Grange Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,484,13,42,65,314,1,44,484,5,17.04,28.40
GRANTSVILLE ELEMENTARY,Maryland,MD ,Grantsville Elementary,Garrett County Public Schools,1-Regular school,42-Rural: Distant,191,–,–,1,190,–,–,191,–,13.56,14.09
GRASONVILLE ELEMENTARY SCHOOL,Maryland,MD ,Grasonville Elementary School,Queen Anne's County Public Schools,1-Regular school,21-Suburb: Large,478,5,47,62,336,–,28,478,–,15.42,31.00
GREAT MILLS HIGH,Maryland,MD ,Great Mills High,St. Mary's County Public Schools,1-Regular school,23-Suburb: Small,1682,71,191,610,690,4,115,1682,1,19.74,85.20
GREAT SENECA CREEK ELEMENTARY,Maryland,MD ,Great Seneca Creek Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,606,73,146,213,130,–,38,606,6,13.87,43.70
GREEN HOLLY ELEMENTARY SCHOOL,Maryland,MD ,Green Holly Elementary School,St. Mary's County Public Schools,1-Regular school,13-City: Small,551,15,74,180,200,1,81,551,–,13.71,40.20
GREEN STREET ACADEMY,Maryland,MD ,Green Street Academy,Baltimore City Public Schools,1-Regular school,11-City: Large,848,1,17,808,22,–,–,848,–,17.67,48.00
GREEN VALLEY ACADEMY AT EDGAR ALLAN POE,Maryland,MD ,Green Valley Academy at Edgar Allan Poe,Prince George's County Public Schools,4-Alternative Education School,21-Suburb: Large,61,–,5,54,–,–,2,61,–,2.65,23.00
GREEN VALLEY ELEMENTARY,Maryland,MD ,Green Valley Elementary,Frederick County Public Schools,1-Regular school,21-Suburb: Large,511,34,63,31,355,1,26,511,1,18.17,28.12
GREENBELT ELEMENTARY,Maryland,MD ,Greenbelt Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,623,48,102,329,123,–,17,623,4,15.61,39.90
GREENBELT MIDDLE,Maryland,MD ,Greenbelt Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,1360,76,468,689,105,3,18,1360,1,15.63,87.00
GREENBRIER ELEMENTARY,Maryland,MD ,Greenbrier Elementary,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,214,15,6,10,176,–,7,214,–,14.80,14.46
GREENCASTLE ELEMENTARY,Maryland,MD ,Greencastle Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,700,55,148,466,18,–,12,700,1,14.68,47.70
GREENSBORO ELEMENTARY SCHOOL,Maryland,MD ,Greensboro Elementary School,Caroline County Public Schools,1-Regular school,42-Rural: Distant,820,1,328,28,422,–,41,820,–,13.90,59.00
GREENVIEW KNOLLS ELEMENTARY,Maryland,MD ,Greenview Knolls Elementary,St. Mary's County Public Schools,1-Regular school,13-City: Small,425,17,39,157,147,–,65,425,–,16.04,26.50
GREENWOOD ELEMENTARY,Maryland,MD ,Greenwood Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,515,44,65,59,305,1,41,515,–,18.39,28.00
GREENWOOD ELEMENTARY SCHOOL,MARYLAND,MD ,Greenwood Elementary School,Somerset County Public Schools,1-Regular school,31-Town: Fringe,486,5,39,333,83,–,26,486,–,12.79,38.00
GUILFORD ELEMENTARY,Maryland,MD ,Guilford Elementary,Howard County Public Schools,1-Regular school,13-City: Small,439,75,61,194,81,–,27,439,1,10.98,40.00
GUILFORD ELEMENTARY/MIDDLE,Maryland,MD ,Guilford Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,275,2,7,263,1,–,2,275,–,16.18,17.00
GUNPOWDER ELEMENTARY,Maryland,MD ,Gunpowder Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,525,63,11,75,355,–,19,525,2,17.05,30.80
GWYNN PARK HIGH,Maryland,MD ,Gwynn Park High,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,935,11,86,769,41,–,26,935,2,15.58,60.00
GWYNN PARK MIDDLE,Maryland,MD ,Gwynn Park Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,640,3,67,522,21,1,26,640,–,17.07,37.50
GWYNNS FALLS ELEMENTARY,Maryland,MD ,Gwynns Falls Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,319,–,9,308,2,–,–,319,–,14.67,21.75
